timestamp;buyer;seller;symbol;currency;price;quantity
0;;;PEARLS;SEASHELLS;10004.0;1
0;;;BANANAS;SEASHELLS;4952.0;1
1100;;;PEARLS;SEASHELLS;9996.0;2
1300;;;BANANAS;SEASHELLS;4949.0;3
1600;;;COCONUTS;SEASHELLS;8000.0;30
1700;;;PEARLS;SEASHELLS;10002.0;1
1800;;;PEARLS;SEASHELLS;10002.0;1
1900;;;BANANAS;SEASHELLS;4950.0;1
2000;;;PEARLS;SEASHELLS;9998.0;1
2400;;;BANANAS;SEASHELLS;4947.0;1
2500;;;BANANAS;SEASHELLS;4949.0;2
2800;;;COCONUTS;SEASHELLS;7997.0;10
2900;;;PEARLS;SEASHELLS;9996.0;1
2900;;;PEARLS;SEASHELLS;9996.0;11
3000;;;BANANAS;SEASHELLS;4953.0;1
3000;;;PEARLS;SEASHELLS;10005.0;1
3100;;;PEARLS;SEASHELLS;9996.0;2
3100;;;BANANAS;SEASHELLS;4947.0;2
3200;;;PEARLS;SEASHELLS;9996.0;1
3200;;;BANANAS;SEASHELLS;4947.0;1
3200;;;BANANAS;SEASHELLS;4947.0;1
3200;;;PEARLS;SEASHELLS;9996.0;1
3400;;;COCONUTS;SEASHELLS;7996.0;40
3700;;;PEARLS;SEASHELLS;10002.0;1
3800;;;BANANAS;SEASHELLS;4952.0;9
3800;;;BANANAS;SEASHELLS;4952.0;1
3800;;;PEARLS;SEASHELLS;9996.0;1
3800;;;BANANAS;SEASHELLS;4952.0;10
4200;;;PEARLS;SEASHELLS;9996.0;2
4300;;;BANANAS;SEASHELLS;4951.0;1
4300;;;PEARLS;SEASHELLS;9995.0;2
4500;;;BANANAS;SEASHELLS;4946.0;1
4800;;;BANANAS;SEASHELLS;4952.0;2
4800;;;PEARLS;SEASHELLS;10004.0;2
4900;;;BANANAS;SEASHELLS;4950.0;7
4900;;;BANANAS;SEASHELLS;4950.0;9
5100;;;BANANAS;SEASHELLS;4951.0;4
5200;;;COCONUTS;SEASHELLS;7997.0;9
5300;;;BANANAS;SEASHELLS;4952.0;1
5700;;;BANANAS;SEASHELLS;4948.0;1
6100;;;BANANAS;SEASHELLS;4948.0;1
6500;;;PEARLS;SEASHELLS;9998.0;1
6600;;;PEARLS;SEASHELLS;10004.0;2
6700;;;PEARLS;SEASHELLS;10002.0;3
6900;;;BANANAS;SEASHELLS;4952.0;1
6900;;;PEARLS;SEASHELLS;10002.0;1
7000;;;BANANAS;SEASHELLS;4954.0;2
7000;;;PEARLS;SEASHELLS;10005.0;2
7200;;;PINA_COLADAS;SEASHELLS;15015.0;4
7200;;;BANANAS;SEASHELLS;4948.0;5
7300;;;PEARLS;SEASHELLS;10004.0;2
7300;;;BANANAS;SEASHELLS;4954.0;2
7400;;;BANANAS;SEASHELLS;4947.0;1
7700;;;BANANAS;SEASHELLS;4946.0;1
8100;;;PEARLS;SEASHELLS;9996.0;1
8100;;;PEARLS;SEASHELLS;9996.0;1
8100;;;PINA_COLADAS;SEASHELLS;15011.0;6
8100;;;BANANAS;SEASHELLS;4952.0;1
8600;;;BANANAS;SEASHELLS;4944.0;1
8800;;;BANANAS;SEASHELLS;4948.0;1
8800;;;PEARLS;SEASHELLS;9998.0;1
9200;;;BANANAS;SEASHELLS;4951.0;1
10300;;;PEARLS;SEASHELLS;9998.0;1
10300;;;BANANAS;SEASHELLS;4951.0;1
10300;;;BANANAS;SEASHELLS;4948.0;1
10300;;;PINA_COLADAS;SEASHELLS;15027.0;4
10400;;;PEARLS;SEASHELLS;10002.0;1
10800;;;PEARLS;SEASHELLS;10004.0;10
10800;;;PEARLS;SEASHELLS;10004.0;2
11100;;;PEARLS;SEASHELLS;9998.0;4
11100;;;PEARLS;SEASHELLS;9998.0;3
11400;;;PEARLS;SEASHELLS;9996.0;1
11400;;;BANANAS;SEASHELLS;4945.0;2
11400;;;COCONUTS;SEASHELLS;8004.0;10
11500;;;PEARLS;SEASHELLS;10002.0;2
11800;;;BANANAS;SEASHELLS;4950.0;1
12000;;;PEARLS;SEASHELLS;10002.0;1
12500;;;BANANAS;SEASHELLS;4943.0;1
12900;;;COCONUTS;SEASHELLS;8003.0;6
13000;;;PEARLS;SEASHELLS;10002.0;1
13000;;;BANANAS;SEASHELLS;4949.0;1
13200;;;PEARLS;SEASHELLS;9998.0;2
13300;;;BANANAS;SEASHELLS;4951.0;2
13300;;;PEARLS;SEASHELLS;10005.0;2
13600;;;BANANAS;SEASHELLS;4944.0;1
14200;;;BANANAS;SEASHELLS;4942.0;1
14300;;;BANANAS;SEASHELLS;4949.0;2
14700;;;PINA_COLADAS;SEASHELLS;15025.0;8
15200;;;BANANAS;SEASHELLS;4943.0;1
15300;;;PEARLS;SEASHELLS;10002.0;1
15400;;;PEARLS;SEASHELLS;9998.0;1
15600;;;PEARLS;SEASHELLS;10004.0;2
15600;;;BANANAS;SEASHELLS;4950.0;2
15600;;;COCONUTS;SEASHELLS;8002.0;13
15700;;;PEARLS;SEASHELLS;10002.0;1
