timestamp;buyer;seller;symbol;currency;price;quantity;dir
0;;;BANANAS;SEASHELLS;5003.0;1;B
1100;;;BANANAS;SEASHELLS;4998.0;1;S
1300;;;BANANAS;SEASHELLS;5000.0;4;S
1300;;;BANANAS;SEASHELLS;5000.0;3;S
1400;;;BANANAS;SEASHELLS;4997.0;10;S
1500;;;BANANAS;SEASHELLS;5004.0;1;B
1800;;;BANANAS;SEASHELLS;5003.0;1;S
2000;;;BANANAS;SEASHELLS;5002.0;1;S
3200;;;BANANAS;SEASHELLS;4996.0;1;S
3300;;;BANANAS;SEASHELLS;4996.0;2;S
3900;;;BANANAS;SEASHELLS;5002.0;1;S
4200;;;BANANAS;SEASHELLS;4996.0;1;S
6400;;;BANANAS;SEASHELLS;4995.0;1;S
6600;;;BANANAS;SEASHELLS;4995.0;1;S
6700;;;BANANAS;SEASHELLS;4996.0;2;S
6900;;;BANANAS;SEASHELLS;4999.0;1;S
6900;;;BANANAS;SEASHELLS;4999.0;1;S
7300;;;BANANAS;SEASHELLS;4995.0;1;M
7400;;;BANANAS;SEASHELLS;5000.0;1;B
7400;;;BANANAS;SEASHELLS;4996.0;1;M
8200;;;BANANAS;SEASHELLS;5000.0;1;B
8600;;;BANANAS;SEASHELLS;4999.0;1;B
8700;;;BANANAS;SEASHELLS;4999.0;2;B
8800;;;BANANAS;SEASHELLS;4999.0;1;S
10200;;;BANANAS;SEASHELLS;4994.0;1;S
10500;;;BANANAS;SEASHELLS;4999.0;5;S
11100;;;BANANAS;SEASHELLS;5001.0;2;B
11300;;;BANANAS;SEASHELLS;4994.0;1;S
11400;;;BANANAS;SEASHELLS;4995.0;1;B
12800;;;BANANAS;SEASHELLS;4994.0;13;S
12900;;;BANANAS;SEASHELLS;4999.0;1;B
13500;;;BANANAS;SEASHELLS;4993.0;1;S
13900;;;BANANAS;SEASHELLS;4992.0;2;S
14300;;;BANANAS;SEASHELLS;4992.0;1;S
15000;;;BANANAS;SEASHELLS;4992.0;1;S
15800;;;BANANAS;SEASHELLS;4996.0;8;S
15800;;;BANANAS;SEASHELLS;4996.0;2;S
16500;;;BANANAS;SEASHELLS;4995.0;9;B
16500;;;BANANAS;SEASHELLS;4995.0;5;B
16700;;;BANANAS;SEASHELLS;4994.0;4;B
16800;;;BANANAS;SEASHELLS;4999.0;2;B
17800;;;BANANAS;SEASHELLS;4995.0;5;S
18100;;;BANANAS;SEASHELLS;4992.0;1;M
18200;;;BANANAS;SEASHELLS;4994.0;5;B
18300;;;BANANAS;SEASHELLS;4998.0;2;B
18600;;;BANANAS;SEASHELLS;4993.0;1;B
19200;;;BANANAS;SEASHELLS;4992.0;1;S
19400;;;BANANAS;SEASHELLS;4991.0;1;S
19600;;;BANANAS;SEASHELLS;4995.0;1;S
20300;;;BANANAS;SEASHELLS;4998.0;1;B
20300;;;BANANAS;SEASHELLS;4997.0;1;S
20300;;;BANANAS;SEASHELLS;4998.0;5;B
20300;;;BANANAS;SEASHELLS;4996.0;5;S
20400;;;BANANAS;SEASHELLS;4992.0;2;S
20900;;;BANANAS;SEASHELLS;4998.0;1;B
21300;;;BANANAS;SEASHELLS;4996.0;1;B
22300;;;BANANAS;SEASHELLS;4990.0;1;S
23100;;;BANANAS;SEASHELLS;4990.0;1;M
24500;;;BANANAS;SEASHELLS;4993.0;1;S
24600;;;BANANAS;SEASHELLS;4994.0;16;B
25100;;;BANANAS;SEASHELLS;4992.0;1;S
25600;;;BANANAS;SEASHELLS;4993.0;2;B
26300;;;BANANAS;SEASHELLS;4986.0;1;S
26400;;;BANANAS;SEASHELLS;4985.0;1;S
26600;;;BANANAS;SEASHELLS;4991.0;15;B
26700;;;BANANAS;SEASHELLS;4990.0;1;S
27200;;;BANANAS;SEASHELLS;4985.0;1;B
28000;;;BANANAS;SEASHELLS;4991.0;1;B
28300;;;BANANAS;SEASHELLS;4985.0;12;B
28300;;;BANANAS;SEASHELLS;4985.0;1;B
28300;;;BANANAS;SEASHELLS;4985.0;2;B
28500;;;BANANAS;SEASHELLS;4985.0;3;B
28600;;;BANANAS;SEASHELLS;4989.0;1;B
28600;;;BANANAS;SEASHELLS;4989.0;2;B
29400;;;BANANAS;SEASHELLS;4990.0;2;B
29900;;;BANANAS;SEASHELLS;4989.0;5;S
29900;;;BANANAS;SEASHELLS;4990.0;1;S
30300;;;BANANAS;SEASHELLS;4989.0;1;B
30400;;;BANANAS;SEASHELLS;4984.0;1;B
30900;;;BANANAS;SEASHELLS;4984.0;1;S
31000;;;BANANAS;SEASHELLS;4984.0;1;S
31200;;;BANANAS;SEASHELLS;4985.0;1;S
31300;;;BANANAS;SEASHELLS;4990.0;1;B
32700;;;BANANAS;SEASHELLS;4987.0;1;S
32800;;;BANANAS;SEASHELLS;4982.0;2;S
33100;;;BANANAS;SEASHELLS;4987.0;8;B
33100;;;BANANAS;SEASHELLS;4987.0;5;B
33200;;;BANANAS;SEASHELLS;4983.0;1;S
33300;;;BANANAS;SEASHELLS;4988.0;1;S
33800;;;BANANAS;SEASHELLS;4983.0;2;S
33900;;;BANANAS;SEASHELLS;4987.0;1;S
34000;;;BANANAS;SEASHELLS;4988.0;1;S
34900;;;BANANAS;SEASHELLS;4981.0;1;S
35300;;;BANANAS;SEASHELLS;4981.0;1;S
35700;;;BANANAS;SEASHELLS;4982.0;14;S
35700;;;BANANAS;SEASHELLS;4982.0;1;S
36300;;;BANANAS;SEASHELLS;4989.0;1;B
36800;;;BANANAS;SEASHELLS;4982.0;1;S
37300;;;BANANAS;SEASHELLS;4983.0;1;S
37400;;;BANANAS;SEASHELLS;4984.0;2;B
38300;;;BANANAS;SEASHELLS;4990.0;13;B
38500;;;BANANAS;SEASHELLS;4989.0;1;S
38900;;;BANANAS;SEASHELLS;4984.0;1;S
38900;;;BANANAS;SEASHELLS;4984.0;2;S
39300;;;BANANAS;SEASHELLS;4984.0;1;S
39400;;;BANANAS;SEASHELLS;4984.0;1;S
39500;;;BANANAS;SEASHELLS;4989.0;1;S
40500;;;BANANAS;SEASHELLS;4983.0;1;B
40600;;;BANANAS;SEASHELLS;4983.0;1;S
41100;;;BANANAS;SEASHELLS;4983.0;1;B
41600;;;BANANAS;SEASHELLS;4982.0;1;S
42300;;;BANANAS;SEASHELLS;4987.0;7;B
42900;;;BANANAS;SEASHELLS;4988.0;1;B
43100;;;BANANAS;SEASHELLS;4990.0;2;B
43500;;;BANANAS;SEASHELLS;4984.0;1;S
43900;;;BANANAS;SEASHELLS;4984.0;1;S
43900;;;BANANAS;SEASHELLS;4990.0;2;B
44700;;;BANANAS;SEASHELLS;4989.0;1;S
45100;;;BANANAS;SEASHELLS;4986.0;1;S
45600;;;BANANAS;SEASHELLS;4990.0;8;B
45800;;;BANANAS;SEASHELLS;4987.0;1;B
45900;;;BANANAS;SEASHELLS;4991.0;8;S
45900;;;BANANAS;SEASHELLS;4991.0;4;S
46300;;;BANANAS;SEASHELLS;4987.0;1;S
46800;;;BANANAS;SEASHELLS;4988.0;2;S
46800;;;BANANAS;SEASHELLS;4988.0;1;S
47200;;;BANANAS;SEASHELLS;4993.0;1;M
47300;;;BANANAS;SEASHELLS;4988.0;2;B
47400;;;BANANAS;SEASHELLS;4987.0;1;S
47700;;;BANANAS;SEASHELLS;4988.0;1;B
48200;;;BANANAS;SEASHELLS;4990.0;5;B
48300;;;BANANAS;SEASHELLS;4991.0;1;S
48600;;;BANANAS;SEASHELLS;4992.0;1;B
48600;;;BANANAS;SEASHELLS;4989.0;1;S
48900;;;BANANAS;SEASHELLS;4990.0;1;S
49300;;;BANANAS;SEASHELLS;4996.0;1;B
49400;;;BANANAS;SEASHELLS;4990.0;1;S
49700;;;BANANAS;SEASHELLS;4990.0;2;S
49900;;;BANANAS;SEASHELLS;4989.0;1;S
50200;;;BANANAS;SEASHELLS;4990.0;1;S
50300;;;BANANAS;SEASHELLS;4989.0;1;S
50400;;;BANANAS;SEASHELLS;4989.0;2;S
51000;;;BANANAS;SEASHELLS;4989.0;1;S
51300;;;BANANAS;SEASHELLS;4994.0;1;S
51500;;;BANANAS;SEASHELLS;4988.0;13;S
51600;;;BANANAS;SEASHELLS;4993.0;1;B
52200;;;BANANAS;SEASHELLS;4989.0;1;S
52300;;;BANANAS;SEASHELLS;4988.0;1;S
53400;;;BANANAS;SEASHELLS;4994.0;10;B
53500;;;BANANAS;SEASHELLS;4993.0;1;B
53600;;;BANANAS;SEASHELLS;4988.0;2;S
53600;;;BANANAS;SEASHELLS;4987.0;1;S
53600;;;BANANAS;SEASHELLS;4988.0;15;S
53700;;;BANANAS;SEASHELLS;4989.0;2;B
54600;;;BANANAS;SEASHELLS;4990.0;1;S
54600;;;BANANAS;SEASHELLS;4991.0;3;B
54700;;;BANANAS;SEASHELLS;4995.0;1;S
55200;;;BANANAS;SEASHELLS;4995.0;1;S
56100;;;BANANAS;SEASHELLS;4996.0;1;B
56500;;;BANANAS;SEASHELLS;4991.0;1;S
56500;;;BANANAS;SEASHELLS;4995.0;11;S
56700;;;BANANAS;SEASHELLS;4991.0;4;S
56700;;;BANANAS;SEASHELLS;4991.0;2;S
57000;;;BANANAS;SEASHELLS;4997.0;1;B
57400;;;BANANAS;SEASHELLS;4997.0;1;B
57700;;;BANANAS;SEASHELLS;4991.0;1;S
57800;;;BANANAS;SEASHELLS;4990.0;1;S
58000;;;BANANAS;SEASHELLS;4991.0;1;B
58600;;;BANANAS;SEASHELLS;4995.0;10;B
58800;;;BANANAS;SEASHELLS;4989.0;1;S
60000;;;BANANAS;SEASHELLS;4991.0;1;S
60200;;;BANANAS;SEASHELLS;4988.0;1;S
60200;;;BANANAS;SEASHELLS;4988.0;1;S
60300;;;BANANAS;SEASHELLS;4991.0;13;S
60600;;;BANANAS;SEASHELLS;4988.0;1;M
60800;;;BANANAS;SEASHELLS;4987.0;2;S
61100;;;BANANAS;SEASHELLS;4994.0;2;B
61300;;;BANANAS;SEASHELLS;4992.0;1;S
62300;;;BANANAS;SEASHELLS;4995.0;1;B
62400;;;BANANAS;SEASHELLS;4989.0;5;B
62500;;;BANANAS;SEASHELLS;4992.0;3;S
62500;;;BANANAS;SEASHELLS;4992.0;2;S
62600;;;BANANAS;SEASHELLS;4988.0;1;S
62900;;;BANANAS;SEASHELLS;4990.0;15;S
62900;;;BANANAS;SEASHELLS;4990.0;1;S
63200;;;BANANAS;SEASHELLS;4991.0;1;S
63300;;;BANANAS;SEASHELLS;4996.0;2;B
64200;;;BANANAS;SEASHELLS;4989.0;2;S
64500;;;BANANAS;SEASHELLS;4994.0;1;B
64500;;;BANANAS;SEASHELLS;4994.0;1;B
65400;;;BANANAS;SEASHELLS;4987.0;1;S
65600;;;BANANAS;SEASHELLS;4986.0;1;S
65800;;;BANANAS;SEASHELLS;4986.0;1;S
67000;;;BANANAS;SEASHELLS;4985.0;1;M
67200;;;BANANAS;SEASHELLS;4989.0;1;B
67400;;;BANANAS;SEASHELLS;4983.0;2;S
67500;;;BANANAS;SEASHELLS;4984.0;2;S
67500;;;BANANAS;SEASHELLS;4984.0;6;S
67900;;;BANANAS;SEASHELLS;4984.0;2;S
67900;;;BANANAS;SEASHELLS;4986.0;1;B
68000;;;BANANAS;SEASHELLS;4984.0;1;S
68200;;;BANANAS;SEASHELLS;4989.0;1;S
68300;;;BANANAS;SEASHELLS;4983.0;1;S
68500;;;BANANAS;SEASHELLS;4990.0;2;B
68500;;;BANANAS;SEASHELLS;4990.0;10;B
68800;;;BANANAS;SEASHELLS;4985.0;9;B
68900;;;BANANAS;SEASHELLS;4989.0;1;S
69300;;;BANANAS;SEASHELLS;4990.0;2;B
69400;;;BANANAS;SEASHELLS;4989.0;1;S
69600;;;BANANAS;SEASHELLS;4985.0;2;B
70400;;;BANANAS;SEASHELLS;4980.0;1;B
70500;;;BANANAS;SEASHELLS;4979.0;3;S
70700;;;BANANAS;SEASHELLS;4980.0;10;B
71400;;;BANANAS;SEASHELLS;4980.0;1;B
73400;;;BANANAS;SEASHELLS;4982.0;1;B
73700;;;BANANAS;SEASHELLS;4987.0;9;B
73900;;;BANANAS;SEASHELLS;4980.0;1;S
74200;;;BANANAS;SEASHELLS;4984.0;1;M
74300;;;BANANAS;SEASHELLS;4983.0;1;S
74400;;;BANANAS;SEASHELLS;4985.0;2;B
75200;;;BANANAS;SEASHELLS;4978.0;1;S
75300;;;BANANAS;SEASHELLS;4983.0;3;S
75500;;;BANANAS;SEASHELLS;4979.0;1;S
76200;;;BANANAS;SEASHELLS;4979.0;6;S
76200;;;BANANAS;SEASHELLS;4979.0;5;S
76400;;;BANANAS;SEASHELLS;4978.0;1;S
76400;;;BANANAS;SEASHELLS;4978.0;1;S
76400;;;BANANAS;SEASHELLS;4978.0;7;S
77800;;;BANANAS;SEASHELLS;4981.0;1;S
78100;;;BANANAS;SEASHELLS;4979.0;1;S
78300;;;BANANAS;SEASHELLS;4974.0;2;S
78400;;;BANANAS;SEASHELLS;4976.0;1;S
78400;;;BANANAS;SEASHELLS;4976.0;7;S
78800;;;BANANAS;SEASHELLS;4974.0;1;S
78800;;;BANANAS;SEASHELLS;4981.0;10;B
79000;;;BANANAS;SEASHELLS;4981.0;2;B
79500;;;BANANAS;SEASHELLS;4975.0;20;S
80100;;;BANANAS;SEASHELLS;4979.0;1;B
80500;;;BANANAS;SEASHELLS;4973.0;1;S
80900;;;BANANAS;SEASHELLS;4973.0;1;S
81300;;;BANANAS;SEASHELLS;4978.0;1;B
81800;;;BANANAS;SEASHELLS;4973.0;1;S
82000;;;BANANAS;SEASHELLS;4976.0;5;S
82100;;;BANANAS;SEASHELLS;4972.0;1;S
82600;;;BANANAS;SEASHELLS;4972.0;1;S
83200;;;BANANAS;SEASHELLS;4972.0;2;S
83300;;;BANANAS;SEASHELLS;4972.0;11;S
83600;;;BANANAS;SEASHELLS;4972.0;8;S
84200;;;BANANAS;SEASHELLS;4972.0;8;S
84200;;;BANANAS;SEASHELLS;4977.0;1;M
84200;;;BANANAS;SEASHELLS;4972.0;2;S
84500;;;BANANAS;SEASHELLS;4972.0;2;S
84600;;;BANANAS;SEASHELLS;4979.0;2;B
84700;;;BANANAS;SEASHELLS;4978.0;1;S
85200;;;BANANAS;SEASHELLS;4973.0;3;B
85700;;;BANANAS;SEASHELLS;4972.0;8;S
85700;;;BANANAS;SEASHELLS;4972.0;2;S
85800;;;BANANAS;SEASHELLS;4974.0;13;S
