timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;PEARLS;9996;1;9995.0;25.0;;;10004;1;10005.0;25.0;;;10000.0;0.0
100;PEARLS;10000;5;9995.0;20.0;;;10005;20;;;;;10002.5;-8.0
200;PEARLS;9996;1;9995.0;30.0;;;10004;1;10005.0;30.0;;;10000.0;-8.0
300;PEARLS;9996;1;9995.0;26.0;;;10004;1;10005.0;26.0;;;10000.0;-8.0
400;PEARLS;9995;20;;;;;9998;3;10002.0;9.0;10005.0;20.0;9996.5;-8.0
500;PEARLS;9995;30;;;;;10005;30;;;;;10000.0;-8.0
600;PEARLS;9995;30;;;;;10005;30;;;;;10000.0;-8.0
700;PEARLS;9998;5;9996.0;1.0;9995.0;27.0;10004;1;10005.0;27.0;;;10001.0;-8.0
800;PEARLS;9996;2;9995.0;21.0;;;10004;2;10005.0;21.0;;;10000.0;-8.0
900;PEARLS;9995;30;;;;;10005;30;;;;;10000.0;-8.0
1000;PEARLS;10002;1;9996.0;2.0;9995.0;22.0;10004;2;10005.0;22.0;;;10003.0;-8.0
1100;PEARLS;9998;3;9996.0;1.0;9995.0;25.0;10004;1;10005.0;25.0;;;10001.0;-8.0
1200;PEARLS;9998;6;9996.0;1.0;9995.0;27.0;10004;1;10005.0;27.0;;;10001.0;-8.0
1300;PEARLS;10000;3;9995.0;23.0;;;10005;23;;;;;10002.5;-8.0
1400;PEARLS;9995;26;;;;;9998;3;10005.0;26.0;;;9996.5;-8.0
1500;PEARLS;9996;2;9995.0;25.0;;;10004;2;10005.0;25.0;;;10000.0;-8.0
1600;PEARLS;9996;1;9995.0;23.0;;;10004;1;10005.0;23.0;;;10000.0;-4.0
1700;PEARLS;9995;28;;;;;10002;6;10005.0;28.0;;;9998.5;-4.0
1800;PEARLS;9998;10;9995.0;24.0;;;10005;24;;;;;10001.5;-4.0
